  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
  88   22    0   30.77  19.05     4     13   21      9     22    22   100.00
  89    7    0   66.67  66.67     4      6    6      2      7     7   100.00
  90    2    0  100.00 100.00     1      1    1      0      2     2   100.00
  91   18    0   38.46  29.41     5     13   17      8     18    18   100.00
  92   24    0   52.63  43.48    10     19   23     11     24    24   100.00
  93   31    0   57.69  50.00    15     26   30     13     31    31   100.00
  94   19    0   58.33  38.89     7     12   18      5     19    19   100.00
  95   30    0   65.00  44.83    13     20   29     11     30    30   100.00
  96   24    0   75.00  65.22    15     20   23      6     24    24   100.00
  97   28    0   40.00  29.63     8     20   27     14     28    28   100.00
  98   30    0   43.48  34.48    10     23   29     17     30    30   100.00
  99   27    0   42.11  30.77     8     19   26     12     27    27   100.00
 100    8    0   83.33  71.43     5      6    7      1      8     8   100.00
 101    6    0  100.00  80.00     4      4    5      0      6     6   100.00
 102   20    0   81.25  68.42    13     16   19      3     20    20   100.00
 103   17    0   75.00  56.25     9     12   16      3     17    17   100.00
 104   36    0   51.85  40.00    14     27   35     17     36    36   100.00
 105   24    0   68.42  56.52    13     19   23      7     24    24   100.00
 106   18    0   60.00  35.29     6     10   17      6     18    18   100.00
 107   32    0   46.67  22.58     7     15   31     11     32    32   100.00
 108   23    0   50.00  40.91     9     18   22     11     23    23   100.00
 109   47    0   51.72  32.61    15     29   46     17     47    47   100.00
 110   21    0   66.67  50.00    10     15   20      6     21    21   100.00
 111   28    0   63.64  51.85    14     22   27     10     28    28   100.00
 112   10    0   85.71  66.67     6      7    9      2     10    10   100.00
 113   41    0   50.00  42.50    17     34   40     18     41    41   100.00
 114   23    0   66.67  54.55    12     18   22      6     23    23   100.00
 115   24    0   55.56  43.48    10     18   23     12     24    24   100.00
 116   45    0   34.48  22.73    10     29   44     27     45    45   100.00
 117   24    0   38.89  30.43     7     18   23     15     24    24   100.00
 118   29    0   36.84  25.00     7     19   28     15     29    29   100.00
 119   22    0   58.82  47.62    10     17   21      7     22    22   100.00
 120   13    0  100.00  66.67     8      8   12      0     13    13   100.00
 121   19    0   50.00  38.89     7     14   18      7     19    19   100.00
 122   16    0   25.00  20.00     3     12   15     11     16    16   100.00
 123   13    0   50.00  33.33     4      8   12      4     13    13   100.00
 124   31    0   57.14  40.00    12     21   30     11     31    31   100.00
 125   14    0   60.00  46.15     6     10   13      5     14    14   100.00
 126   15    0   60.00  42.86     6     10   14      4     15    15   100.00
 127   26    0   47.62  40.00    10     21   25     13     26    26   100.00
 128   13    0   60.00  50.00     6     10   12      5     13    13   100.00
 129    9    0  100.00 100.00     8      8    8      0      9     9   100.00
 130   19    0   63.64  38.89     7     11   18      6     19    19   100.00
 131   28    0   33.33  25.93     7     21   27     16     28    28   100.00
 132   15    0   54.55  42.86     6     11   14      5     15    15   100.00
 133   18    0   41.67  29.41     5     12   17     10     18    18   100.00
 134   31    0   40.91  30.00     9     22   30     18     31    31   100.00
 135   17    0   61.54  50.00     8     13   16      5     17    17   100.00
